Date,Ticker,Market Cap,P/E Ratio,Price to Book,ROE (%)
2026-05-15,TLKM.JK,293197687291904,16.45,2.14,16.05
2026-05-18,BBCA.JK,752616984281088,13.11,2.9,22.97
2026-05-18,BMRI.JK,385466671038464,6.85,1.26,21.04
2026-05-18,BBNI.JK,141575829061632,6.97,0.88,12.03
2026-05-18,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-18,TLKM.JK,305084076392448,17.11,2.22,16.05
2026-05-19,BBCA.JK,731113626533888,12.63,2.82,22.97
2026-05-19,BMRI.JK,385466671038464,6.84,1.26,21.04
2026-05-19,BBNI.JK,141948400697344,6.99,0.88,12.03
2026-05-19,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-19,TLKM.JK,304028185526272,17.45,2.22,16.05
2026-05-20,BBCA.JK,734185534783488,12.68,2.83,22.97
2026-05-20,BMRI.JK,394800004071424,7.01,1.29,21.04
2026-05-20,BBNI.JK,141575829061632,6.97,0.88,12.03
2026-05-20,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-20,TLKM.JK,306002394087424,17.57,2.24,16.05
2026-05-21,BBCA.JK,731113626533888,12.64,2.82,22.97
2026-05-21,BMRI.JK,389200004251648,6.91,1.27,21.04
2026-05-21,BBNI.JK,141575829061632,6.97,0.88,12.03
2026-05-21,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-21,TLKM.JK,296131351281664,17.01,2.17,16.05
2026-05-22,BBCA.JK,724969810034688,12.52,2.8,22.97
2026-05-22,BMRI.JK,384533320957952,6.83,1.26,21.04
2026-05-22,BBNI.JK,140830702567424,6.94,0.87,12.03
2026-05-22,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-22,TLKM.JK,288234517037056,16.55,2.11,16.05
2026-05-25,BBCA.JK,749545076031488,12.96,2.89,22.97
2026-05-25,BMRI.JK,393866653990912,7.0,1.29,21.04
2026-05-25,BBNI.JK,144928940228608,7.14,0.9,12.03
2026-05-25,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-25,TLKM.JK,289221621317632,16.59,2.12,16.05
2026-05-27,BBCA.JK,734185534783488,12.69,2.83,22.97
2026-05-27,BMRI.JK,385466671038464,6.84,1.26,21.04
2026-05-27,BBNI.JK,143066098827264,7.05,0.89,12.03
2026-05-27,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-27,TLKM.JK,305015289806848,17.51,2.23,16.05
2026-05-28,BBCA.JK,734185534783488,12.69,2.83,22.97
2026-05-28,BMRI.JK,385466671038464,6.84,1.26,21.04
2026-05-28,BBNI.JK,143066098827264,7.05,0.89,12.03
2026-05-28,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-28,TLKM.JK,305015289806848,17.51,2.23,16.05
2026-05-29,BBCA.JK,700394544037888,12.11,2.7,22.97
2026-05-29,BMRI.JK,380799987744768,6.76,1.25,21.04
2026-05-29,BBNI.JK,137850154647552,6.79,0.86,12.03
2026-05-29,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-29,TLKM.JK,299092664123392,17.17,2.19,16.05
2026-06-01,BBCA.JK,700394544037888,12.11,2.7,22.97
2026-06-01,BMRI.JK,380799987744768,6.76,1.25,21.04
2026-06-01,BBNI.JK,137850154647552,6.79,0.86,12.03
2026-06-01,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-01,TLKM.JK,299092664123392,18.42,2.19,14.21
2026-06-02,BBCA.JK,715754085285888,12.37,2.76,22.97
2026-06-02,BMRI.JK,389200004251648,6.91,1.27,21.04
2026-06-02,BBNI.JK,140085559296000,6.9,0.87,12.03
2026-06-02,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-02,TLKM.JK,291195829878784,17.93,2.13,14.21
2026-06-03,BBCA.JK,678891253399552,11.72,2.62,22.97
2026-06-03,BMRI.JK,378000004612096,6.71,1.24,21.04
2026-06-03,BBNI.JK,133006773714944,6.55,0.83,12.03
2026-06-03,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-03,TLKM.JK,281324787073024,17.34,2.1,14.21
2026-06-04,BBCA.JK,666603620401152,11.52,2.57,22.97
2026-06-04,BMRI.JK,370533338185728,6.58,1.21,21.04
2026-06-04,BBNI.JK,127418249510912,6.27,0.79,12.03
2026-06-04,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-04,TLKM.JK,286260308475904,17.63,2.13,14.21
2026-06-05,BBCA.JK,623596904906752,10.78,2.41,22.97
2026-06-05,BMRI.JK,358399988465664,6.37,1.17,21.04
2026-06-05,BBNI.JK,119594320658432,5.89,0.74,12.03
2026-06-05,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-05,TLKM.JK,272440848547840,16.79,2.03,14.21
2026-06-08,BBCA.JK,595949730660352,10.3,2.3,22.97
2026-06-08,BMRI.JK,346266672300032,5.92,1.13,21.04
2026-06-08,BBNI.JK,112142963441664,5.52,0.7,12.03
2026-06-08,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-08,TLKM.JK,231969573044224,14.29,1.73,14.21
2026-06-09,BBCA.JK,632812629655552,10.94,2.44,22.97
2026-06-09,BMRI.JK,381733337825280,6.52,1.25,21.04
2026-06-09,BBNI.JK,121829733695488,6.0,0.76,12.03
2026-06-09,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-09,TLKM.JK,258621388619776,15.93,1.93,14.21
2026-06-10,BBCA.JK,694250727538688,11.99,2.68,22.97
2026-06-10,BMRI.JK,397599987204096,6.79,1.3,21.04
2026-06-10,BBNI.JK,128535956029440,6.33,0.8,12.03
2026-06-10,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-10,TLKM.JK,277376369950720,17.11,2.07,14.21
2026-06-11,BBCA.JK,715754085285888,12.36,2.76,22.97
2026-06-11,BMRI.JK,396666670678016,6.78,1.3,21.04
2026-06-11,BBNI.JK,130398797430784,6.42,0.81,12.03
2026-06-11,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-11,TLKM.JK,283298995634176,17.46,2.11,14.21
2026-06-12,BBCA.JK,728041718284288,12.57,2.81,22.97
2026-06-12,BMRI.JK,391999987384320,6.7,1.28,21.04
2026-06-12,BBNI.JK,132634202079232,6.53,0.82,12.03
2026-06-12,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-12,TLKM.JK,282280652177408,17.39,2.1,14.21
2026-06-15,BBCA.JK,771048433778688,13.32,2.98,22.97
2026-06-15,BMRI.JK,419999986483200,7.18,1.38,21.04
2026-06-15,BBNI.JK,141575829061632,6.97,0.88,12.03
2026-06-15,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-15,TLKM.JK,289189610389504,17.82,2.15,14.21
2026-06-16,BBCA.JK,771048433778688,13.32,2.98,22.97
2026-06-16,BMRI.JK,419999986483200,7.18,1.38,21.04
2026-06-16,BBNI.JK,141575829061632,6.97,0.88,12.03
2026-06-16,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-06-16,TLKM.JK,289189610389504,17.83,2.15,14.21
2026-06-17,BBCA.JK,771048433778688,13.32,2.98,22.97
2026-06-17,BMRI.JK,419066669957120,7.16,1.37,21.04
2026-06-17,BBNI.JK,141575829061632,6.97,0.88,12.03
2026-06-17,GOTO.JK,53100509396992,N/A,1.66,-3.29
